,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
0,정규강좌,정보화/IT,리모트 리더십,[리모트 워크] 슬기로운 조직관리 리더십,1,TRUE,frame,False
1,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 직업윤리,1,TRUE,frame,False
2,정규강좌,생활/인문교양,재테크/자녀교육,기술이 그리는 공부의 미래,1,TRUE,frame,False
3,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 성희롱 예방교육",1,TRUE,iframe,False
4,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 개인정보보호 교육",1,TRUE,iframe,False
5,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 괴롭힘 예방교육",1,TRUE,iframe,False
6,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 직장 내 장애인 인식개선 교육",1,TRUE,iframe,False
7,테마강좌,법정의무교육,인권교육,[직장인의 품격] 공정사회 및 인권사회 구현,1,TRUE,iframe,False
8,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 가정폭력 예방교육",1,TRUE,iframe,False
9,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 성폭력 예방교육",1,TRUE,iframe,False
10,테마강좌,법정의무교육,필수교육,[직장인의 품격] 갑질예방교육,1,TRUE,iframe,False
11,테마강좌,법정의무교육,필수교육,[직장인의 품격] 육아휴직 복귀지원 교육,1,TRUE,iframe,False
12,테마강좌,법정의무교육,필수교육,[직장인의 품격] 지능정보서비스 과의존 예방교육,1,TRUE,iframe,False
13,테마강좌,법정의무교육,필수교육,"[직장인 고민타파] 최양락, 팽현숙과 함께하는 성폭력 예방교육(2022)",1,TRUE,iframe,False
14,테마강좌,법정의무교육,인권교육,[직장인의 품격] 청탁금지법,1,TRUE,iframe,False
15,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 성매매 예방교육",1,TRUE,iframe,False
16,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 감정노동자 보호 교육",1,TRUE,iframe,False
17,테마강좌,외국인근로자(Foreign),,위생 및 정리수납 노하우(CAM),1,TRUE,iframe,False
18,테마강좌,외국인근로자(Foreign),,위생 및 정리수납 노하우(KOR),1,TRUE,iframe,False
19,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(INA),1,TRUE,iframe,False
20,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(VIE),1,TRUE,iframe,False
21,테마강좌,주민자치강좌,-,금호1동 주민자치회 활성화 사례,1,TRUE,iframe,False
22,테마강좌,주민자치강좌,-,고양동 주민자치회 활성화 사례,1,TRUE,iframe,False
23,테마강좌,주민자치강좌,-,주민자치&주민주권의 실현,1,TRUE,iframe,False
24,테마강좌,주민자치강좌,-,담양군 주민자치회 활성화 사례,1,TRUE,iframe,False
25,테마강좌,주민자치강좌,-,주민세 연계 주민자치 활성화 사례,1,TRUE,iframe,False
26,테마강좌,주민자치강좌,-,주민주권시대 풀뿌리 주민자치,1,TRUE,iframe,False
27,테마강좌,주민자치강좌,-,청양읍 주민자치회 활성화 사례,1,TRUE,iframe,False
