,type,title,class,time (h),ing,note,,
154,정규강좌,[리모트 워크] 슬기로운 조직관리 리더십,리모트 리더십,1,DONE,,,
176,정규강좌,기술이 그리는 공부의 미래,자녀교육,1,DONE,,,
320,테마강좌,사회복지 종사자를 위한 성희롱 예방교육,필수교육,1,DONE,,,
321,테마강좌,사회복지 종사자를 위한 성폭력 예방교육,필수교육,1,DONE,,,
361,테마강좌,[행복의 공식] 육아휴직 복귀지원 교육,인권교육,1,DONE,,,
362,테마강좌,[행복의 공식] 정보보안,인권교육,1,DONE,,,
363,테마강좌,[행복의 공식] 청탁금지법,인권교육,1,DONE,,,
364,테마강좌,[행복의 공식] 갑질예방교육,인권교육,1,DONE,,,
365,테마강좌,[행복의 공식] 공정사회 및 인권사회 구현,인권교육,1,DONE,,,
370,테마강좌,위생 및 정리수납 노하우(CAM),기타,1,DONE,,,
371,테마강좌,위생 및 정리수납 노하우(INA),기타,1,DONE,,,
372,테마강좌,위생 및 정리수납 노하우(KOR),기타,1,DONE,,,
373,테마강좌,위생 및 정리수납 노하우(VIE),기타,1,DONE,,,
376,테마강좌,고양동 주민자치회 활성화 사례,기타,1,DONE,,,
377,테마강좌,금호1동 주민자치회 활성화 사례,기타,1,DONE,,,
378,테마강좌,담양군 주민자치회 활성화 사례,기타,1,DONE,,,
379,테마강좌,주민세 연계 주민자치 활성화 사례,기타,1,DONE,,,
380,테마강좌,주민자치&주민주권의 실현,기타,1,DONE,,,
383,테마강좌,주민주권시대 풀뿌리 주민자치,기타,1,DONE,,,
384,테마강좌,청양읍 주민자치회 활성화 사례,기타,1,DONE,,,
0,정규강좌,탁월한 CMO의 마케팅 매니지먼트,SNS활용,2,DONE,,,
2,정규강좌,모든 것은 고객경험으로 연결된다,SNS활용,2,DONE,,,
7,정규강좌,"[휴넷X정재승] ChatGPT혁명, AI시대에서 살아남는 질문력",트렌드,2,DONE,,,
9,정규강좌,"기후 변화 시대, 새로운 마인드셋",ESG,2,DONE,,,
11,정규강좌,[레전드 스킬] 협업이 이렇게 쉽다고? 노션&구글워크스페이스,직업기초능력,2,DONE,,,
34,정규강좌,오늘도 야근하는 너에게 : ChatGPT 실전 활용법,트렌드,2,DONE,,,
35,정규강좌,New Creative에 도전하는 인공지능 콘텐츠,인문,2,DONE,,,
36,정규강좌,GPT-X 시대의 마케팅,SNS활용,2,DONE,,,
37,정규강좌,세계를 움직인 역사 속 리더들,인문,2,DONE,,,
40,정규강좌,"ChatGPT, 멀티모달 AI의 미래를 열다",인공지능,2,DONE,,,
47,정규강좌,HR도 ChatGPT로 하는 시대가 왔다,트렌드,2,DONE,,,
50,정규강좌,마케팅 메가 트렌드,SNS활용,2,DONE,,,
86,정규강좌,세상을 뒤바꿀 미래기술 25,디지털 트랜스포메이션,2,DONE,,,
110,정규강좌,"[카드뉴스] 지속가능한 기업의 성공 법칙, ESG 빠르게 읽기",ESG,2,DONE,,,
122,정규강좌,[카드뉴스] 파이어족이 온다: 빠르게 은퇴를 준비하는 사람들,인생이모작,2,DONE,,,
140,정규강좌,"[카드뉴스] 메타버스, 앞으로 만날 두번째 세계",메타버스,2,DONE,,,
